DLL Page Link,DLL Identifier,Record title,DLL Author,DLL Contributor,DLL Work Reference,Publisher,Place of Publication,Date,Source,Repository Source,rights,rights,Type,Format
https://catalog.digitallatin.org/dll-item-record/IR1165,IR1165,P. Vergili Maronis Opera cum appendice in usum scholarum ,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1910,https://catalog.hathitrust.org/Record/001810466,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1166,IR1166,P. Vergili Maronis Opera,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1904,https://catalog.hathitrust.org/Record/007027544,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1167,IR1167,P. Vergili Maronis Opera in usum scholarum,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1881,https://catalog.hathitrust.org/Record/008911678,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1168,IR1168,P. Vergili Maronis Opera,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1859,https://catalog.hathitrust.org/Record/008620986,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1169,IR1169,P. Vergili Maronis Opera in usum scholarum,Virgil,"Ribbeck, Otto, 1827-1898",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1881,https://catalog.hathitrust.org/Record/001810464,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1170,IR1170,P. Virgili Maronis Opera omnia,Virgil,"Jahn, Johann Christian, 1797-1847",Aeneis;Eclogae;Georgica;Appendix Vergiliana,B.G. Teubner,Leipzig,1859,https://catalog.hathitrust.org/Record/100130896,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1017,IR1017,Guilelmi Blesensis Aldae comoedia,"William, of Blois","Lohmeyer, Carl Friedrich Wilhelm, 1868-",Alda,B.G. Teubner,Leipzig,1892,https://catalog.hathitrust.org/Record/100329500,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR1018,IR1018,Guilelmi Blesensis Aldae comoedia,"William, of Blois","Lohmeyer, Carl Friedrich Wilhelm, 1868-",Alda,B.G. Teubner,Leipzig,1892,https://catalog.hathitrust.org/Record/100459045,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR950,IR950,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Merkel, Rudolf, 1811-1885, Ehwald, Rudolf, 1847-1927",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1887,https://catalog.hathitrust.org/Record/100644116,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR951,IR951,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Merkel, Rudolf, 1811-1885",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1867,https://catalog.hathitrust.org/Record/011552803,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR952,IR952,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Ehwald, Rudolf, 1847-1927, Merkel, Rudolf, 1811-1885",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1903,https://catalog.hathitrust.org/Record/006792478,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR953,IR953,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Merkel, Rudolf, 1811-1885, Ehwald, Rudolf, 1847-1927",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1897,https://catalog.hathitrust.org/Record/010939420,HathiTrust,Public Domain,Public Domain,,PDF
https://catalog.digitallatin.org/dll-item-record/IR954,IR954,P. Ovidius Naso,"Ovid, 43 B.C.-17 A.D. or 18 A.D. ","Ehwald, Rudolf, 1847-1927, Merkel, Rudolf, 1811-1885",Amores;Heroides;Medicamina Faciei Femineae;Ars Amatoria;Remedia Amoris;Metamorphoses;Tristia;Ibis;Epistulae ex Ponto;Fasti,B.G. Teubner,Leipzig,1889,https://catalog.hathitrust.org/Record/011742709,HathiTrust,Public Domain,Public Domain,,PDF
